date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:23:11	496663/496663	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Sep%202024%2015:23:10%20GMT	https://img.itch.zone/aW1hZ2UvOTY3MDIzLzU4MDA3MjYucG5n/original/Amt5RY.png	C:/Users/PC/Desktop/oyun%20site%20gg/img.itch.zone/aW1hZ2UvOTY3MDIzLzU4MDA3MjYucG5n/original/Amt5RY.png	(from https://light-2.live/)
18:23:11	23316/23316	---MCZ	200	added ('OK')	text/plain	etag:W/%225b090b69-5b14%22	https://static.itch.io/fonts/lato-v14-latin-regular.woff2	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/lato-v14-latin-regular.woff2	(from https://static.itch.io/game.css?1662925820)
18:23:11	28412/28412	---MCZ	200	added ('OK')	text/plain	etag:W/%225b090b69-6efc%22	https://static.itch.io/fonts/lato-v14-latin-regular.woff	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/lato-v14-latin-regular.woff	(from https://static.itch.io/game.css?1662925820)
18:23:11	24192/24192	---MCZ	200	added ('OK')	text/plain	etag:W/%225b090b69-5e80%22	https://static.itch.io/fonts/lato-v14-latin-italic.woff2	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/lato-v14-latin-italic.woff2	(from https://static.itch.io/game.css?1662925820)
18:23:12	29600/29600	---MCZ	200	added ('OK')	text/plain	etag:W/%225b090b69-73a0%22	https://static.itch.io/fonts/lato-v14-latin-italic.woff	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/lato-v14-latin-italic.woff	(from https://static.itch.io/game.css?1662925820)
18:23:12	22820/22820	---MCZ	200	added ('OK')	text/plain	etag:W/%225b090b69-5924%22	https://static.itch.io/fonts/lato-v14-latin-700.woff2	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/lato-v14-latin-700.woff2	(from https://static.itch.io/game.css?1662925820)
18:23:12	27848/27848	---MCZ	200	added ('OK')	text/plain	etag:W/%225b090b69-6cc8%22	https://static.itch.io/fonts/lato-v14-latin-700.woff	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/lato-v14-latin-700.woff	(from https://static.itch.io/game.css?1662925820)
18:23:12	22352/22352	---MCZ	200	added ('OK')	text/plain	etag:W/%225b090b69-5750%22	https://static.itch.io/fonts/lato-v14-latin-900.woff2	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/lato-v14-latin-900.woff2	(from https://static.itch.io/game.css?1662925820)
18:23:13	27260/27260	---MCZ	200	added ('OK')	text/plain	etag:W/%225b090b69-6a7c%22	https://static.itch.io/fonts/lato-v14-latin-900.woff	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/lato-v14-latin-900.woff	(from https://static.itch.io/game.css?1662925820)
18:23:13	182708/182708	---MCZ	200	added ('OK')	text/plain	etag:W/%225c588c2a-2c9b4%22	https://static.itch.io/fonts/Lato-Regular.woff2	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/Lato-Regular.woff2	(from https://static.itch.io/game.css?1662925820)
