date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:23:13	309192/309192	---MCZ	200	added ('OK')	text/plain	etag:W/%225c588c2a-4b7c8%22	https://static.itch.io/fonts/Lato-Regular.woff	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/Lato-Regular.woff	(from https://static.itch.io/game.css?1662925820)
18:23:13	195704/195704	---MCZ	200	added ('OK')	text/plain	etag:W/%225c588c2a-2fc78%22	https://static.itch.io/fonts/Lato-Italic.woff2	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/Lato-Italic.woff2	(from https://static.itch.io/game.css?1662925820)
18:23:14	328412/328412	---MCZ	200	added ('OK')	text/plain	etag:W/%225c588c2a-502dc%22	https://static.itch.io/fonts/Lato-Italic.woff	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/Lato-Italic.woff	(from https://static.itch.io/game.css?1662925820)
18:23:14	184912/184912	---MCZ	200	added ('OK')	text/plain	etag:W/%225c588c2a-2d250%22	https://static.itch.io/fonts/Lato-Bold.woff2	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/Lato-Bold.woff2	(from https://static.itch.io/game.css?1662925820)
18:23:14	309728/309728	---MCZ	200	added ('OK')	text/plain	etag:W/%225c588c2a-4b9e0%22	https://static.itch.io/fonts/Lato-Bold.woff	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/Lato-Bold.woff	(from https://static.itch.io/game.css?1662925820)
18:23:14	176748/176748	---MCZ	200	added ('OK')	text/plain	etag:W/%225c588c2a-2b26c%22	https://static.itch.io/fonts/Lato-Black.woff2	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/Lato-Black.woff2	(from https://static.itch.io/game.css?1662925820)
18:23:14	297272/297272	---MCZ	200	added ('OK')	text/plain	etag:W/%225c588c2a-48938%22	https://static.itch.io/fonts/Lato-Black.woff	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/Lato-Black.woff	(from https://static.itch.io/game.css?1662925820)
18:23:15	1490/1490	---M--	200	added ('OK')	image/gif	etag:%225b09c3f7-739%22	https://static.itch.io/images/loader.gif	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/images/loader.gif	(from https://static.itch.io/game.css?1662925820)
18:23:15	1490/1490	---M--	200	added ('OK')	image/gif	etag:%225b09c3f7-739%22	https://static.itch.io/images/loader-dark.gif	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/images/loader-dark.gif	(from https://static.itch.io/game.css?1662925820)
18:23:15	4670/4670	---M--	200	added ('OK')	image/gif	etag:%225b09c3f7-1aa4%22	https://static.itch.io/images/loader-huge.gif	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/images/loader-huge.gif	(from https://static.itch.io/game.css?1662925820)
18:23:15	307/307	---M--	200	added ('OK')	image/gif	etag:%225b09c3f7-194%22	https://static.itch.io/images/cc-loader.gif	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/images/cc-loader.gif	(from https://static.itch.io/game.css?1662925820)
18:23:15	306/306	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22624b674a-132%22	https://static.itch.io/images/play_icon.svg	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/images/play_icon.svg	(from https://static.itch.io/game.css?1662925820)
18:23:16	663/663	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b091d66-297%22	https://static.itch.io/images/youtube_icon.svg	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/images/youtube_icon.svg	(from https://static.itch.io/game.css?1662925820)
18:23:16	1005/1005	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b091d66-3ed%22	https://static.itch.io/images/twitch_logo.svg	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/images/twitch_logo.svg	(from https://static.itch.io/game.css?1662925820)
18:23:16	2691/2691	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac04077-a83%22	https://static.itch.io/images/loading.svg	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/images/loading.svg	(from https://static.itch.io/game.css?1662925820)
18:23:16	173/173	---M--	200	added ('OK')	image/png	etag:%225ac04077-209%22	https://static.itch.io/images/popup-tick-right.png	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/images/popup-tick-right.png	(from https://static.itch.io/game.css?1662925820)
18:23:17	229/229	---M--	200	added ('OK')	image/png	etag:%225ac04077-1fa%22	https://static.itch.io/images/popup-tick-left.png	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/images/popup-tick-left.png	(from https://static.itch.io/game.css?1662925820)
18:23:17	17514/17514	---M--	200	added ('OK')	application/octet-stream	etag:%225ac04077-446a%22	https://static.itch.io/fonts/04b03.eot	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/04b03.eot	(from https://static.itch.io/game.css?1662925820)
18:23:17	17514/17514	---M--	200	added ('OK')	application/octet-stream	etag:%225ac04077-446a%22	https://static.itch.io/fonts/04b03.eot?	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/04b03d41d.eot	(from https://static.itch.io/game.css?1662925820)
18:23:17	4888/4888	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-1318%22	https://static.itch.io/fonts/04b03.woff2	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/fonts/04b03.woff2	(from https://static.itch.io/game.css?1662925820)
